DBN,school_year,student_q20_mental_health,student_q20_mental_health_label,student_q22_felt_happy,student_q22_felt_happy_label
23K518,2024-25,85.0,85.0% of students know where to get mental health support,67.0,67.0% of students felt happy at school
23K522,2024-25,78.0,78.0% of students know where to get mental health support,57.0,57.0% of students felt happy at school
23K643,2024-25,97.0,97.0% of students know where to get mental health support,83.0,83.0% of students felt happy at school
23K644,2024-25,90.0,90.0% of students know where to get mental health support,83.0,83.0% of students felt happy at school
23K647,2024-25,97.0,97.0% of students know where to get mental health support,87.0,87.0% of students felt happy at school
23K664,2024-25,84.0,84.0% of students know where to get mental health support,67.0,67.0% of students felt happy at school
23K668,2024-25,89.0,89.0% of students know where to get mental health support,64.0,64.0% of students felt happy at school
23K671,2024-25,84.0,84.0% of students know where to get mental health support,59.0,59.0% of students felt happy at school
23K697,2024-25,86.0,86.0% of students know where to get mental health support,59.0,59.0% of students felt happy at school
24Q005,2024-25,74.0,74.0% of students know where to get mental health support,74.0,74.0% of students felt happy at school
24Q049,2024-25,79.0,79.0% of students know where to get mental health support,76.0,76.0% of students felt happy at school
24Q058,2024-25,89.0,89.0% of students know where to get mental health support,81.0,81.0% of students felt happy at school
24Q061,2024-25,80.0,80.0% of students know where to get mental health support,80.0,80.0% of students felt happy at school
24Q073,2024-25,79.0,79.0% of students know where to get mental health support,74.0,74.0% of students felt happy at school
24Q077,2024-25,82.0,82.0% of students know where to get mental health support,77.0,77.0% of students felt happy at school
24Q087,2024-25,87.0,87.0% of students know where to get mental health support,73.0,73.0% of students felt happy at school
24Q093,2024-25,81.0,81.0% of students know where to get mental health support,75.0,75.0% of students felt happy at school
24Q102,2024-25,89.0,89.0% of students know where to get mental health support,80.0,80.0% of students felt happy at school
24Q113,2024-25,91.0,91.0% of students know where to get mental health support,83.0,83.0% of students felt happy at school
24Q119,2024-25,75.0,75.0% of students know where to get mental health support,75.0,75.0% of students felt happy at school
24Q125,2024-25,79.0,79.0% of students know where to get mental health support,73.0,73.0% of students felt happy at school
24Q128,2024-25,88.0,88.0% of students know where to get mental health support,82.0,82.0% of students felt happy at school
24Q236,2024-25,96.0,96.0% of students know where to get mental health support,89.0,89.0% of students felt happy at school
24Q264,2024-25,87.0,87.0% of students know where to get mental health support,72.0,72.0% of students felt happy at school
24Q267,2024-25,88.0,88.0% of students know where to get mental health support,71.0,71.0% of students felt happy at school
24Q293,2024-25,94.0,94.0% of students know where to get mental health support,84.0,84.0% of students felt happy at school
24Q296,2024-25,96.0,96.0% of students know where to get mental health support,89.0,89.0% of students felt happy at school
24Q299,2024-25,92.0,92.0% of students know where to get mental health support,73.0,73.0% of students felt happy at school
24Q311,2024-25,83.0,83.0% of students know where to get mental health support,76.0,76.0% of students felt happy at school
24Q419,2024-25,79.0,79.0% of students know where to get mental health support,73.0,73.0% of students felt happy at school
24Q455,2024-25,88.0,88.0% of students know where to get mental health support,80.0,80.0% of students felt happy at school
24Q485,2024-25,83.0,83.0% of students know where to get mental health support,73.0,73.0% of students felt happy at school
24Q520,2024-25,96.0,96.0% of students know where to get mental health support,84.0,84.0% of students felt happy at school
24Q530,2024-25,98.0,98.0% of students know where to get mental health support,98.0,98.0% of students felt happy at school
24Q550,2024-25,85.0,85.0% of students know where to get mental health support,75.0,75.0% of students felt happy at school
24Q560,2024-25,86.0,86.0% of students know where to get mental health support,76.0,76.0% of students felt happy at school
24Q585,2024-25,93.0,93.0% of students know where to get mental health support,82.0,82.0% of students felt happy at school
24Q600,2024-25,92.0,92.0% of students know where to get mental health support,82.0,82.0% of students felt happy at school
24Q610,2024-25,90.0,90.0% of students know where to get mental health support,78.0,78.0% of students felt happy at school
24Q744,2024-25,97.0,97.0% of students know where to get mental health support,89.0,89.0% of students felt happy at school
25Q025,2024-25,81.0,81.0% of students know where to get mental health support,70.0,70.0% of students felt happy at school
25Q164,2024-25,83.0,83.0% of students know where to get mental health support,77.0,77.0% of students felt happy at school
25Q185,2024-25,77.0,77.0% of students know where to get mental health support,82.0,82.0% of students felt happy at school
25Q189,2024-25,82.0,82.0% of students know where to get mental health support,74.0,74.0% of students felt happy at school
25Q194,2024-25,77.0,77.0% of students know where to get mental health support,74.0,74.0% of students felt happy at school
25Q200,2024-25,74.0,74.0% of students know where to get mental health support,70.0,70.0% of students felt happy at school
25Q219,2024-25,79.0,79.0% of students know where to get mental health support,75.0,75.0% of students felt happy at school
25Q237,2024-25,67.0,67.0% of students know where to get mental health support,63.0,63.0% of students felt happy at school
25Q240,2024-25,81.0,81.0% of students know where to get mental health support,71.0,71.0% of students felt happy at school
25Q241,2024-25,91.0,91.0% of students know where to get mental health support,84.0,84.0% of students felt happy at school
25Q250,2024-25,75.0,75.0% of students know where to get mental health support,65.0,65.0% of students felt happy at school
25Q252,2024-25,88.0,88.0% of students know where to get mental health support,77.0,77.0% of students felt happy at school
25Q263,2024-25,96.0,96.0% of students know where to get mental health support,88.0,88.0% of students felt happy at school
25Q281,2024-25,83.0,83.0% of students know where to get mental health support,68.0,68.0% of students felt happy at school
25Q285,2024-25,74.0,74.0% of students know where to get mental health support,70.0,70.0% of students felt happy at school
25Q294,2024-25,84.0,84.0% of students know where to get mental health support,78.0,78.0% of students felt happy at school
25Q379,2024-25,76.0,76.0% of students know where to get mental health support,67.0,67.0% of students felt happy at school
25Q425,2024-25,84.0,84.0% of students know where to get mental health support,72.0,72.0% of students felt happy at school
25Q460,2024-25,84.0,84.0% of students know where to get mental health support,73.0,73.0% of students felt happy at school
25Q499,2024-25,80.0,80.0% of students know where to get mental health support,67.0,67.0% of students felt happy at school
25Q525,2024-25,93.0,93.0% of students know where to get mental health support,78.0,78.0% of students felt happy at school
25Q540,2024-25,93.0,93.0% of students know where to get mental health support,94.0,94.0% of students felt happy at school
25Q670,2024-25,90.0,90.0% of students know where to get mental health support,72.0,72.0% of students felt happy at school
25Q792,2024-25,87.0,87.0% of students know where to get mental health support,74.0,74.0% of students felt happy at school
26Q067,2024-25,83.0,83.0% of students know where to get mental health support,67.0,67.0% of students felt happy at school
26Q074,2024-25,84.0,84.0% of students know where to get mental health support,75.0,75.0% of students felt happy at school
26Q158,2024-25,76.0,76.0% of students know where to get mental health support,77.0,77.0% of students felt happy at school
26Q172,2024-25,81.0,81.0% of students know where to get mental health support,68.0,68.0% of students felt happy at school
26Q178,2024-25,74.0,74.0% of students know where to get mental health support,72.0,72.0% of students felt happy at school
26Q216,2024-25,78.0,78.0% of students know where to get mental health support,69.0,69.0% of students felt happy at school
26Q266,2024-25,74.0,74.0% of students know where to get mental health support,64.0,64.0% of students felt happy at school
26Q315,2024-25,90.0,90.0% of students know where to get mental health support,76.0,76.0% of students felt happy at school
26Q415,2024-25,82.0,82.0% of students know where to get mental health support,69.0,69.0% of students felt happy at school
26Q430,2024-25,77.0,77.0% of students know where to get mental health support,68.0,68.0% of students felt happy at school
26Q435,2024-25,82.0,82.0% of students know where to get mental health support,71.0,71.0% of students felt happy at school
26Q495,2024-25,76.0,76.0% of students know where to get mental health support,65.0,65.0% of students felt happy at school
26Q566,2024-25,81.0,81.0% of students know where to get mental health support,62.0,62.0% of students felt happy at school
27Q042,2024-25,71.0,71.0% of students know where to get mental health support,60.0,60.0% of students felt happy at school
27Q043,2024-25,61.0,61.0% of students know where to get mental health support,64.0,64.0% of students felt happy at school
27Q047,2024-25,81.0,81.0% of students know where to get mental health support,68.0,68.0% of students felt happy at school
27Q053,2024-25,86.0,86.0% of students know where to get mental health support,72.0,72.0% of students felt happy at school
27Q105,2024-25,76.0,76.0% of students know where to get mental health support,66.0,66.0% of students felt happy at school
27Q114,2024-25,83.0,83.0% of students know where to get mental health support,67.0,67.0% of students felt happy at school
27Q124,2024-25,85.0,85.0% of students know where to get mental health support,67.0,67.0% of students felt happy at school
27Q137,2024-25,84.0,84.0% of students know where to get mental health support,76.0,76.0% of students felt happy at school
27Q146,2024-25,89.0,89.0% of students know where to get mental health support,77.0,77.0% of students felt happy at school
27Q183,2024-25,61.0,61.0% of students know where to get mental health support,67.0,67.0% of students felt happy at school
27Q202,2024-25,80.0,80.0% of students know where to get mental health support,77.0,77.0% of students felt happy at school
27Q207,2024-25,93.0,93.0% of students know where to get mental health support,80.0,80.0% of students felt happy at school
27Q210,2024-25,75.0,75.0% of students know where to get mental health support,69.0,69.0% of students felt happy at school
27Q226,2024-25,77.0,77.0% of students know where to get mental health support,67.0,67.0% of students felt happy at school
27Q232,2024-25,86.0,86.0% of students know where to get mental health support,72.0,72.0% of students felt happy at school
27Q260,2024-25,88.0,88.0% of students know where to get mental health support,70.0,70.0% of students felt happy at school
27Q262,2024-25,77.0,77.0% of students know where to get mental health support,64.0,64.0% of students felt happy at school
27Q282,2024-25,81.0,81.0% of students know where to get mental health support,63.0,63.0% of students felt happy at school
27Q297,2024-25,91.0,91.0% of students know where to get mental health support,78.0,78.0% of students felt happy at school
27Q302,2024-25,92.0,92.0% of students know where to get mental health support,81.0,81.0% of students felt happy at school
27Q308,2024-25,93.0,93.0% of students know where to get mental health support,82.0,82.0% of students felt happy at school
27Q309,2024-25,86.0,86.0% of students know where to get mental health support,70.0,70.0% of students felt happy at school
27Q314,2024-25,86.0,86.0% of students know where to get mental health support,75.0,75.0% of students felt happy at school
27Q318,2024-25,88.0,88.0% of students know where to get mental health support,68.0,68.0% of students felt happy at school
27Q319,2024-25,87.0,87.0% of students know where to get mental health support,72.0,72.0% of students felt happy at school
27Q323,2024-25,88.0,88.0% of students know where to get mental health support,71.0,71.0% of students felt happy at school
27Q324,2024-25,81.0,81.0% of students know where to get mental health support,72.0,72.0% of students felt happy at school
27Q333,2024-25,85.0,85.0% of students know where to get mental health support,65.0,65.0% of students felt happy at school
27Q334,2024-25,,Data not available,,Data not available
27Q351,2024-25,87.0,87.0% of students know where to get mental health support,61.0,61.0% of students felt happy at school
27Q400,2024-25,74.0,74.0% of students know where to get mental health support,55.0,55.0% of students felt happy at school
27Q475,2024-25,87.0,87.0% of students know where to get mental health support,70.0,70.0% of students felt happy at school
27Q480,2024-25,89.0,89.0% of students know where to get mental health support,76.0,76.0% of students felt happy at school
27Q650,2024-25,90.0,90.0% of students know where to get mental health support,74.0,74.0% of students felt happy at school
28Q008,2024-25,82.0,82.0% of students know where to get mental health support,65.0,65.0% of students felt happy at school
28Q072,2024-25,79.0,79.0% of students know where to get mental health support,64.0,64.0% of students felt happy at school
28Q099,2024-25,75.0,75.0% of students know where to get mental health support,95.0,95.0% of students felt happy at school
28Q157,2024-25,78.0,78.0% of students know where to get mental health support,81.0,81.0% of students felt happy at school
28Q167,2024-25,82.0,82.0% of students know where to get mental health support,76.0,76.0% of students felt happy at school
28Q190,2024-25,77.0,77.0% of students know where to get mental health support,67.0,67.0% of students felt happy at school
28Q217,2024-25,81.0,81.0% of students know where to get mental health support,76.0,76.0% of students felt happy at school
28Q284,2024-25,81.0,81.0% of students know where to get mental health support,70.0,70.0% of students felt happy at school
28Q287,2024-25,69.0,69.0% of students know where to get mental health support,56.0,56.0% of students felt happy at school
28Q310,2024-25,84.0,84.0% of students know where to get mental health support,71.0,71.0% of students felt happy at school
28Q325,2024-25,89.0,89.0% of students know where to get mental health support,78.0,78.0% of students felt happy at school
28Q328,2024-25,91.0,91.0% of students know where to get mental health support,85.0,85.0% of students felt happy at school
28Q332,2024-25,80.0,80.0% of students know where to get mental health support,77.0,77.0% of students felt happy at school
28Q338,2024-25,98.0,98.0% of students know where to get mental health support,90.0,90.0% of students felt happy at school
28Q350,2024-25,82.0,82.0% of students know where to get mental health support,71.0,71.0% of students felt happy at school
28Q358,2024-25,88.0,88.0% of students know where to get mental health support,72.0,72.0% of students felt happy at school
28Q440,2024-25,88.0,88.0% of students know where to get mental health support,78.0,78.0% of students felt happy at school
28Q505,2024-25,87.0,87.0% of students know where to get mental health support,76.0,76.0% of students felt happy at school
28Q620,2024-25,90.0,90.0% of students know where to get mental health support,78.0,78.0% of students felt happy at school
28Q680,2024-25,81.0,81.0% of students know where to get mental health support,62.0,62.0% of students felt happy at school
28Q686,2024-25,87.0,87.0% of students know where to get mental health support,79.0,79.0% of students felt happy at school
28Q687,2024-25,85.0,85.0% of students know where to get mental health support,72.0,72.0% of students felt happy at school
28Q690,2024-25,80.0,80.0% of students know where to get mental health support,69.0,69.0% of students felt happy at school
28Q896,2024-25,71.0,71.0% of students know where to get mental health support,52.0,52.0% of students felt happy at school
29Q059,2024-25,76.0,76.0% of students know where to get mental health support,54.0,54.0% of students felt happy at school
29Q109,2024-25,80.0,80.0% of students know where to get mental health support,62.0,62.0% of students felt happy at school
29Q116,2024-25,73.0,73.0% of students know where to get mental health support,57.0,57.0% of students felt happy at school
29Q138,2024-25,71.0,71.0% of students know where to get mental health support,70.0,70.0% of students felt happy at school
29Q147,2024-25,87.0,87.0% of students know where to get mental health support,58.0,58.0% of students felt happy at school
29Q192,2024-25,84.0,84.0% of students know where to get mental health support,62.0,62.0% of students felt happy at school
29Q208,2024-25,82.0,82.0% of students know where to get mental health support,64.0,64.0% of students felt happy at school
29Q238,2024-25,69.0,69.0% of students know where to get mental health support,62.0,62.0% of students felt happy at school
29Q243,2024-25,84.0,84.0% of students know where to get mental health support,77.0,77.0% of students felt happy at school
29Q248,2024-25,73.0,73.0% of students know where to get mental health support,62.0,62.0% of students felt happy at school
29Q259,2024-25,84.0,84.0% of students know where to get mental health support,60.0,60.0% of students felt happy at school
29Q265,2024-25,75.0,75.0% of students know where to get mental health support,66.0,66.0% of students felt happy at school
29Q268,2024-25,68.0,68.0% of students know where to get mental health support,53.0,53.0% of students felt happy at school
29Q270,2024-25,78.0,78.0% of students know where to get mental health support,54.0,54.0% of students felt happy at school
29Q272,2024-25,82.0,82.0% of students know where to get mental health support,55.0,55.0% of students felt happy at school
29Q283,2024-25,82.0,82.0% of students know where to get mental health support,63.0,63.0% of students felt happy at school
29Q289,2024-25,82.0,82.0% of students know where to get mental health support,76.0,76.0% of students felt happy at school
29Q295,2024-25,73.0,73.0% of students know where to get mental health support,61.0,61.0% of students felt happy at school
29Q313,2024-25,83.0,83.0% of students know where to get mental health support,59.0,59.0% of students felt happy at school
29Q326,2024-25,87.0,87.0% of students know where to get mental health support,73.0,73.0% of students felt happy at school
29Q327,2024-25,87.0,87.0% of students know where to get mental health support,66.0,66.0% of students felt happy at school
29Q355,2024-25,88.0,88.0% of students know where to get mental health support,70.0,70.0% of students felt happy at school
29Q356,2024-25,79.0,79.0% of students know where to get mental health support,64.0,64.0% of students felt happy at school
29Q492,2024-25,86.0,86.0% of students know where to get mental health support,77.0,77.0% of students felt happy at school
29Q498,2024-25,100.0,100.0% of students know where to get mental health support,57.0,57.0% of students felt happy at school
30Q010,2024-25,86.0,86.0% of students know where to get mental health support,74.0,74.0% of students felt happy at school
30Q011,2024-25,62.0,62.0% of students know where to get mental health support,73.0,73.0% of students felt happy at school
30Q078,2024-25,78.0,78.0% of students know where to get mental health support,69.0,69.0% of students felt happy at school
30Q111,2024-25,75.0,75.0% of students know where to get mental health support,63.0,63.0% of students felt happy at school
30Q122,2024-25,86.0,86.0% of students know where to get mental health support,85.0,85.0% of students felt happy at school
30Q126,2024-25,71.0,71.0% of students know where to get mental health support,66.0,66.0% of students felt happy at school
30Q127,2024-25,74.0,74.0% of students know where to get mental health support,61.0,61.0% of students felt happy at school
30Q141,2024-25,81.0,81.0% of students know where to get mental health support,73.0,73.0% of students felt happy at school
30Q145,2024-25,84.0,84.0% of students know where to get mental health support,77.0,77.0% of students felt happy at school
30Q204,2024-25,81.0,81.0% of students know where to get mental health support,72.0,72.0% of students felt happy at school
30Q227,2024-25,85.0,85.0% of students know where to get mental health support,76.0,76.0% of students felt happy at school
