DBN,school_year,core_school,level,grade_served,school_type,cohort,year_partnership_began,social_work_program,community_school_program,community_school_program_status,arts_program,arts_program_type,ost_program,ost_program_type,food_pantry,laundry,sw_caseload_students,students_individual_contacts,number_individual_contacts,students_group_contacts,number_group_contacts,total_students_served_sw,total_contacts_sw,school_enrollment_pwc
84M330,2022-23,0,Middle,6-8,Charter,,,1,0,,1,"Visual Arts, dance",,,,,30,36,350,18,36,100,386,229
84X465,2022-23,1,Middle,6-8,Charter,,,1,0,,1,Visual art,,,,,36,45,629,35,233,67,862,299
84X487,2022-23,1,Middle,6-8,Charter,Morrisania,,1,0,,1,Dance and Visual Arts,,,,,14,43,290,25,25,60,315,185
84X630,2022-23,1,Elem,K-5,Charter,,,1,0,,1,Dance first and second session,,,,,66,74,324,46,261,102,585,508
84X630,2022-23,1,Elem,K-5,Charter,,,1,0,,1,Dance first and second session,,,,,66,74,324,46,261,102,585,508
84X630,2022-23,1,Elem,K-5,Charter,Morrisania,,1,0,,1,Visual Arts,,,,,31,64,874,176,1583,180,2457,201
84X630,2022-23,1,Elem,K-5,Charter,Morrisania,,1,0,,1,Visual Arts,,,,,31,64,874,176,1583,180,2457,201
02M600,2023-24,1,HS,9-12,DOE,,,1,0,,1,,,,,,,,,,,,,
03M299,2023-24,0,HS,9-12,DOE,,,0,0,,1,,,,,,,,,,,,,
04M038,2023-24,1,Elem,Prek-5,DOE,East Harlem,,1,1,,1,,,,,,,,,,,,,
04M102,2023-24,1,Elem,3K-5,DOE,East Harlem,,1,1,New,1,,,,,,,,,,,,,
04M377,2023-24,1,Middle,6-8,DOE,East Harlem,,1,1,,1,,,,,,,,,,,,,
05M194,2023-24,1,Elem,Prek-5,DOE,,,1,1,,0,,,,,,,,,,,,,
06M005,2023-24,0,Elem,K-5,DOE,,,0,0,,1,,,,,,,,,,,,,
07X296,2023-24,1,Middle,6-8,DOE,Morrisania,,1,1,New,0,,,,,,,,,,,,,
09X525,2023-24,1,HS,9-12,DOE,,,1,1,,1,,,,,,,,,,,,,
12X047,2023-24,1,Elem,K-5,DOE,,,1,0,,1,,,,,,,,,,,,,
12X286,2023-24,1,Middle,6-8,DOE,,,1,1,,0,,,,,,,,,,,,,
12X463,2023-24,1,Elem,K-5,DOE,Morrisania,,1,1,OCS MH subcontract - East Side House,1,,,,,,,,,,,,,
13K046,2023-24,1,Elem,Prek-5,DOE,Fort Greene,,1,1,New,0,,,,,,,,,,,,,
13K067,2023-24,1,Elem,Prek-5,DOE,,,1,1,,1,,,,,,,,,,,,,
14K018,2023-24,0,Elem,Prek-5,DOE,,,0,0,,1,,,,,,,,,,,,,
14K110,2023-24,0,Elem,Prek-6,DOE,,,0,0,,1,,,,,,,,,,,,,
14K126,2023-24,1,Middle,6-8,DOE,,,1,1,OCS MH subcontract  - St. Nick's Alliance,1,,,,,,,,,,,,,
16K308,2023-24,1,Elem,3K-5,DOE,,,1,1,,1,,,,,,,,,,,,,
19K557,2023-24,1,Elem,3K-5,DOE,Brownsville,,1,1,,0,,,,,,,,,,,,,
22K611,2023-24,1,HS,9-12,DOE,,,1,1,,1,,,,,,,,,,,,,
23K041,2023-24,1,Elem,K-5,DOE,Brownsville,,1,1,New,0,,,,,,,,,,,,,
23K165,2023-24,1,Elem,3K-5,DOE,Brownsville,,1,1,,1,,,,,,,,,,,,,
23K284,2023-24,1,Elem,Prek-5,DOE,Brownsville,,1,1,,1,,,,,,,,,,,,,
23K298,2023-24,1,Elem,3K-5,DOE,Brownsville,,1,1,,1,,,,,,,,,,,,,
23K446,2023-24,1,Elem,Prek-5,DOE,Brownsville,,1,0,,1,,,,,,,,,,,,,
23K668,2023-24,1,Middle,6-8,DOE,Brownsville,,1,1,New,0,,,,,,,,,,,,,
27Q351,2023-24,1,HS,9-12,DOE,,,1,1,,1,,,,,,,,,,,,,
28Q217,2023-24,0,Middle,6-8,DOE,,,0,0,,1,,,,,,,,,,,,,
31R049,2023-24,1,Middle,6-8,DOE,,,1,0,,1,,,,,,,,,,,,,
75X017,2023-24,1,,1-12,DOE D75,Morrisania,,1,1,New,0,,,,,,,,,,,,,
84X465,2023-24,1,Elem,K-5,Charter,,,1,0,,1,,,,,,,,,,,,,
84X465,2023-24,1,Elem,K-5,Charter,,,1,0,,1,,,,,,,,,,,,,
84X465,2023-24,1,Middle,6-8,Charter,,,1,0,,1,,,,,,,,,,,,,
84X465,2023-24,1,Middle,6-8,Charter,,,1,0,,1,,,,,,,,,,,,,
84X487,2023-24,1,Elem,K-5,Charter,,,1,0,,1,,,,,,,,,,,,,
84X487,2023-24,1,Elem,K-5,Charter,,,1,0,,1,,,,,,,,,,,,,
84X487,2023-24,1,Middle,6-8,Charter,Morrisania,,1,0,,1,,,,,,,,,,,,,
84X487,2023-24,1,Middle,6-8,Charter,Morrisania,,1,0,,1,,,,,,,,,,,,,
84X630,2023-24,1,Elem,K-5,Charter,Morrisania,,1,0,,1,,,,,,,,,,,,,
02M124,2024-25,0,Elem,Prek-5,DOE,,,0,0,,1,School-Based Residency,0,,0,0,,,,,,,,
02M600,2024-25,1,HS,2025-09-12 0:00:00,DOE,,2020,1,0,,0,,1,COMPASS Afterschool - Workforce Readiness,0,0,2,1,10,81,262,11,272,1667
03M492,2024-25,0,HS,2025-09-12 0:00:00,DOE,,,0,0,,1,Career Development Program,0,,0,0,,,,,,,,
04M038,2024-25,1,Elem,Prek-5,DOE,East Harlem,2019,1,1,,1,School-Based Residency,1,NYS Extended School Day School Violence Prevention,1,1,,,,,,,,
04M102,2024-25,1,Elem,3K-5,DOE,East Harlem,2023,1,1,Next Gen Community School,1,School-Based Residency; Career Development Program,0,,0,0,,,,,,,,
04M377,2024-25,1,Middle,2025-06-08 0:00:00,DOE,East Harlem,2015,1,1,,1,School-Based Residency,0,,0,1,,,,,,,,
05M194,2024-25,1,Elem,Prek-5,DOE,,2016,1,1,,1,School-Based Residency; Career Development Program,1,Beacon Program,1,0,,,,,,,,
06M005,2024-25,0,Elem,K-5,DOE,,,0,0,,1,School-Based Residency,0,,0,0,,,,,,,,
07X296,2024-25,1,Middle,2025-06-08 0:00:00,DOE,Morrisania,2008,1,1,,1,School-Based Residency,1,NYS Extended School Day School Violence Prevention,0,0,36,62,465,127,,153,465,244
07X379,2024-25,0,HS,2025-09-12 0:00:00,DOE,,,0,0,,1,Career Development Program,0,,0,0,,,,,,,,
09X525,2024-25,1,HS,2025-09-12 0:00:00,DOE,,2020,1,1,,1,School-Based Residency,0,,0,0,16,75,339,15,61,80,400,394
10X225,2024-25,0,HS,2025-06-12 0:00:00,DOE,,,0,0,,1,Career Development Program,0,,0,0,,,,,,,,
11X567,2024-25,0,Elem,K-5,DOE,,2025,0,0,,1,School-Based Residency,0,,0,0,,,,,,,,
12X286,2024-25,1,Middle,2025-06-08 0:00:00,DOE,,2018,1,1,,0,,0,,0,0,39,109,601,101,811,151,1412,274
12X463,2024-25,1,Elem,K-5,DOE,Morrisania,2019,1,1,OCS MH subcontract - East Side House,1,School-Based Residency,0,,1,0,26,76,777,87,,123,777,367
13K046,2024-25,1,Elem,Prek-5,DOE,Fort Greene,2023,1,1,,0,,0,,0,1,,,,,,,,198
13K067,2024-25,1,Elem,Prek-5,DOE,,2015,1,1,,1,School-Based Residency,0,,1,0,70,113,1277,187,1384,192,2661,196
14K018,2024-25,0,Elem,Prek-5,DOE,,,0,0,,1,School-Based Residency,0,,0,0,,,,,,,,
