DBN,school_year,chronic_absent_count,chronic_absent_rate,chronic_absent_rate_label
08X432,2018-19,212.0,56.68,56.7% of students chronically absent
08X448,2018-19,109.0,27.18,27.2% of students chronically absent
08X452,2018-19,307.0,56.12,56.1% of students chronically absent
08X467,2018-19,159.0,42.51,42.5% of students chronically absent
08X530,2018-19,207.0,56.1,56.1% of students chronically absent
08X558,2018-19,292.0,49.41,49.4% of students chronically absent
08X559,2018-19,250.0,71.63,71.6% of students chronically absent
08X561,2018-19,250.0,59.24,59.2% of students chronically absent
08X562,2018-19,210.0,29.33,29.3% of students chronically absent
08X583,2018-19,87.0,42.86,42.9% of students chronically absent
09X004,2018-19,329.0,51.73,51.7% of students chronically absent
09X011,2018-19,230.0,38.72,38.7% of students chronically absent
09X022,2018-19,86.0,19.11,19.1% of students chronically absent
09X028,2018-19,323.0,40.38,40.4% of students chronically absent
09X035,2018-19,174.0,26.61,26.6% of students chronically absent
09X042,2018-19,110.0,25.35,25.4% of students chronically absent
09X053,2018-19,489.0,42.45,42.5% of students chronically absent
09X055,2018-19,244.0,37.6,37.6% of students chronically absent
09X058,2018-19,220.0,47.62,47.6% of students chronically absent
09X063,2018-19,241.0,40.1,40.1% of students chronically absent
09X070,2018-19,489.0,40.15,40.1% of students chronically absent
09X073,2018-19,294.0,46.82,46.8% of students chronically absent
09X088,2018-19,64.0,36.36,36.4% of students chronically absent
09X109,2018-19,295.0,44.63,44.6% of students chronically absent
09X110,2018-19,144.0,31.3,31.3% of students chronically absent
09X114,2018-19,279.0,34.96,35.0% of students chronically absent
09X117,2018-19,149.0,28.11,28.1% of students chronically absent
09X126,2018-19,272.0,41.46,41.5% of students chronically absent
09X128,2018-19,62.0,17.32,17.3% of students chronically absent
09X132,2018-19,200.0,48.43,48.4% of students chronically absent
09X163,2018-19,127.0,25.35,25.4% of students chronically absent
09X170,2018-19,79.0,31.6,31.6% of students chronically absent
09X199,2018-19,299.0,37.47,37.5% of students chronically absent
09X204,2018-19,164.0,23.94,23.9% of students chronically absent
09X215,2018-19,100.0,29.5,29.5% of students chronically absent
09X218,2018-19,245.0,23.36,23.4% of students chronically absent
09X219,2018-19,152.0,38.68,38.7% of students chronically absent
09X227,2018-19,164.0,40.2,40.2% of students chronically absent
09X229,2018-19,118.0,44.03,44.0% of students chronically absent
09X231,2018-19,131.0,23.39,23.4% of students chronically absent
09X232,2018-19,176.0,31.94,31.9% of students chronically absent
09X236,2018-19,83.0,24.13,24.1% of students chronically absent
09X241,2018-19,220.0,36.36,36.4% of students chronically absent
09X250,2018-19,174.0,39.19,39.2% of students chronically absent
09X252,2018-19,173.0,46.51,46.5% of students chronically absent
09X260,2018-19,132.0,27.91,27.9% of students chronically absent
09X263,2018-19,186.0,50.13,50.1% of students chronically absent
09X274,2018-19,490.0,62.66,62.7% of students chronically absent
09X294,2018-19,144.0,26.82,26.8% of students chronically absent
09X297,2018-19,166.0,40.29,40.3% of students chronically absent
09X303,2018-19,73.0,21.79,21.8% of students chronically absent
09X311,2018-19,157.0,35.04,35.0% of students chronically absent
09X313,2018-19,97.0,29.31,29.3% of students chronically absent
09X323,2018-19,197.0,43.88,43.9% of students chronically absent
09X324,2018-19,102.0,19.92,19.9% of students chronically absent
09X327,2018-19,295.0,39.92,39.9% of students chronically absent
09X328,2018-19,105.0,29.33,29.3% of students chronically absent
09X329,2018-19,140.0,48.11,48.1% of students chronically absent
09X339,2018-19,154.0,28.89,28.9% of students chronically absent
09X361,2018-19,73.0,18.91,18.9% of students chronically absent
09X365,2018-19,123.0,36.28,36.3% of students chronically absent
09X403,2018-19,234.0,54.42,54.4% of students chronically absent
09X404,2018-19,204.0,65.18,65.2% of students chronically absent
09X412,2018-19,128.0,43.24,43.2% of students chronically absent
09X413,2018-19,92.0,21.4,21.4% of students chronically absent
09X443,2018-19,218.0,36.09,36.1% of students chronically absent
09X449,2018-19,147.0,30.43,30.4% of students chronically absent
09X454,2018-19,121.0,25.91,25.9% of students chronically absent
09X457,2018-19,212.0,39.19,39.2% of students chronically absent
09X505,2018-19,199.0,25.71,25.7% of students chronically absent
09X517,2018-19,259.0,60.94,60.9% of students chronically absent
09X525,2018-19,369.0,61.09,61.1% of students chronically absent
09X543,2018-19,160.0,59.93,59.9% of students chronically absent
09X555,2018-19,75.0,17.24,17.2% of students chronically absent
09X564,2018-19,145.0,38.06,38.1% of students chronically absent
09X568,2018-19,154.0,28.41,28.4% of students chronically absent
09X593,2018-19,10.0,18.18,18.2% of students chronically absent
09X594,2018-19,77.0,32.77,32.8% of students chronically absent
10X003,2018-19,103.0,31.02,31.0% of students chronically absent
10X007,2018-19,75.0,10.29,10.3% of students chronically absent
10X008,2018-19,341.0,33.96,34.0% of students chronically absent
10X009,2018-19,357.0,40.16,40.2% of students chronically absent
10X015,2018-19,94.0,19.3,19.3% of students chronically absent
10X020,2018-19,394.0,37.99,38.0% of students chronically absent
10X023,2018-19,194.0,39.84,39.8% of students chronically absent
10X024,2018-19,93.0,10.78,10.8% of students chronically absent
10X032,2018-19,357.0,42.7,42.7% of students chronically absent
10X033,2018-19,378.0,40.34,40.3% of students chronically absent
10X037,2018-19,281.0,41.2,41.2% of students chronically absent
