DBN,school_year,ela_number_tested,ela_mean_scale_score,ela_pct_proficient,ela_pct_proficient_label
09X110,2017-18,191.0,596.9,29.32,29.3% ELA proficiency (Levels 3+4)
09X114,2017-18,349.0,586.9,22.64,22.6% ELA proficiency (Levels 3+4)
09X117,2017-18,444.0,587.5,16.89,16.9% ELA proficiency (Levels 3+4)
09X126,2017-18,231.0,599.7,49.35,49.4% ELA proficiency (Levels 3+4)
09X128,2017-18,354.0,606.7,61.58,61.6% ELA proficiency (Levels 3+4)
09X132,2017-18,184.0,591.6,21.74,21.7% ELA proficiency (Levels 3+4)
09X163,2017-18,214.0,590.5,27.57,27.6% ELA proficiency (Levels 3+4)
09X199,2017-18,328.0,590.4,23.48,23.5% ELA proficiency (Levels 3+4)
09X204,2017-18,310.0,604.8,53.23,53.2% ELA proficiency (Levels 3+4)
09X215,2017-18,293.0,598.2,39.59,39.6% ELA proficiency (Levels 3+4)
09X218,2017-18,611.0,597.1,38.79,38.8% ELA proficiency (Levels 3+4)
09X219,2017-18,288.0,589.8,21.88,21.9% ELA proficiency (Levels 3+4)
09X229,2017-18,234.0,586.5,16.67,16.7% ELA proficiency (Levels 3+4)
09X231,2017-18,165.0,589.0,20.0,20.0% ELA proficiency (Levels 3+4)
09X232,2017-18,430.0,589.3,26.51,26.5% ELA proficiency (Levels 3+4)
09X236,2017-18,120.0,593.3,30.83,30.8% ELA proficiency (Levels 3+4)
09X241,2017-18,235.0,593.8,30.64,30.6% ELA proficiency (Levels 3+4)
09X274,2017-18,321.0,586.8,16.82,16.8% ELA proficiency (Levels 3+4)
09X294,2017-18,143.0,612.9,69.23,69.2% ELA proficiency (Levels 3+4)
09X303,2017-18,278.0,599.5,46.04,46.0% ELA proficiency (Levels 3+4)
09X311,2017-18,163.0,595.7,38.04,38.0% ELA proficiency (Levels 3+4)
09X313,2017-18,266.0,583.7,14.29,14.3% ELA proficiency (Levels 3+4)
09X323,2017-18,401.0,590.5,27.68,27.7% ELA proficiency (Levels 3+4)
09X324,2017-18,220.0,594.5,25.45,25.4% ELA proficiency (Levels 3+4)
09X327,2017-18,282.0,600.0,41.13,41.1% ELA proficiency (Levels 3+4)
09X328,2017-18,218.0,589.3,17.89,17.9% ELA proficiency (Levels 3+4)
09X339,2017-18,422.0,589.5,23.7,23.7% ELA proficiency (Levels 3+4)
09X361,2017-18,372.0,593.5,27.96,28.0% ELA proficiency (Levels 3+4)
09X413,2017-18,138.0,601.7,44.93,44.9% ELA proficiency (Levels 3+4)
09X443,2017-18,206.0,594.2,31.07,31.1% ELA proficiency (Levels 3+4)
09X449,2017-18,186.0,596.3,34.95,35.0% ELA proficiency (Levels 3+4)
09X454,2017-18,421.0,601.1,45.13,45.1% ELA proficiency (Levels 3+4)
09X457,2017-18,233.0,591.7,28.76,28.8% ELA proficiency (Levels 3+4)
09X505,2017-18,258.0,603.9,54.65,54.6% ELA proficiency (Levels 3+4)
09X555,2017-18,172.0,600.2,41.28,41.3% ELA proficiency (Levels 3+4)
09X568,2017-18,222.0,605.7,58.11,58.1% ELA proficiency (Levels 3+4)
10X003,2017-18,192.0,601.0,44.79,44.8% ELA proficiency (Levels 3+4)
10X007,2017-18,482.0,602.9,49.38,49.4% ELA proficiency (Levels 3+4)
10X008,2017-18,490.0,593.6,30.2,30.2% ELA proficiency (Levels 3+4)
10X009,2017-18,376.0,592.1,29.52,29.5% ELA proficiency (Levels 3+4)
10X015,2017-18,315.0,602.0,46.67,46.7% ELA proficiency (Levels 3+4)
10X020,2017-18,675.0,593.4,29.33,29.3% ELA proficiency (Levels 3+4)
10X023,2017-18,202.0,589.1,17.33,17.3% ELA proficiency (Levels 3+4)
10X024,2017-18,406.0,614.1,72.66,72.7% ELA proficiency (Levels 3+4)
10X032,2017-18,387.0,589.6,22.74,22.7% ELA proficiency (Levels 3+4)
10X033,2017-18,399.0,593.5,29.57,29.6% ELA proficiency (Levels 3+4)
10X037,2017-18,411.0,594.2,28.22,28.2% ELA proficiency (Levels 3+4)
10X045,2017-18,664.0,594.0,30.87,30.9% ELA proficiency (Levels 3+4)
10X046,2017-18,453.0,586.8,22.3,22.3% ELA proficiency (Levels 3+4)
10X051,2017-18,78.0,593.1,28.21,28.2% ELA proficiency (Levels 3+4)
10X054,2017-18,185.0,589.8,19.46,19.5% ELA proficiency (Levels 3+4)
10X056,2017-18,328.0,602.8,52.13,52.1% ELA proficiency (Levels 3+4)
10X059,2017-18,270.0,588.2,17.41,17.4% ELA proficiency (Levels 3+4)
10X077,2017-18,65.0,600.5,58.46,58.5% ELA proficiency (Levels 3+4)
10X080,2017-18,631.0,590.9,31.7,31.7% ELA proficiency (Levels 3+4)
10X081,2017-18,246.0,610.9,70.33,70.3% ELA proficiency (Levels 3+4)
10X085,2017-18,433.0,585.9,17.32,17.3% ELA proficiency (Levels 3+4)
10X086,2017-18,885.0,596.9,39.66,39.7% ELA proficiency (Levels 3+4)
10X091,2017-18,341.0,591.8,28.45,28.4% ELA proficiency (Levels 3+4)
10X094,2017-18,551.0,587.8,22.14,22.1% ELA proficiency (Levels 3+4)
10X095,2017-18,852.0,598.1,38.5,38.5% ELA proficiency (Levels 3+4)
10X118,2017-18,1066.0,600.4,49.53,49.5% ELA proficiency (Levels 3+4)
10X141,2017-18,661.0,602.8,53.25,53.2% ELA proficiency (Levels 3+4)
10X159,2017-18,88.0,603.3,55.68,55.7% ELA proficiency (Levels 3+4)
10X205,2017-18,506.0,592.5,27.08,27.1% ELA proficiency (Levels 3+4)
10X206,2017-18,178.0,585.3,11.24,11.2% ELA proficiency (Levels 3+4)
10X225,2017-18,175.0,596.7,33.71,33.7% ELA proficiency (Levels 3+4)
10X226,2017-18,178.0,591.2,29.78,29.8% ELA proficiency (Levels 3+4)
