DBN,school_year,teacher_q119_disruptive_sel,teacher_q119_disruptive_sel_label,teacher_q120_access_supports,teacher_q120_access_supports_label
28Q175,2023-24,79.0,79.0% of adults recognize disruptive behavior as SEL opportunity,78.0,78.0% of adults have access to behavioral/emotional supports
28Q182,2023-24,62.0,62.0% of adults recognize disruptive behavior as SEL opportunity,76.0,76.0% of adults have access to behavioral/emotional supports
28Q190,2023-24,65.0,65.0% of adults recognize disruptive behavior as SEL opportunity,65.0,65.0% of adults have access to behavioral/emotional supports
28Q196,2023-24,92.0,92.0% of adults recognize disruptive behavior as SEL opportunity,92.0,92.0% of adults have access to behavioral/emotional supports
28Q206,2023-24,85.0,85.0% of adults recognize disruptive behavior as SEL opportunity,93.0,93.0% of adults have access to behavioral/emotional supports
28Q217,2023-24,82.0,82.0% of adults recognize disruptive behavior as SEL opportunity,87.0,87.0% of adults have access to behavioral/emotional supports
28Q220,2023-24,80.0,80.0% of adults recognize disruptive behavior as SEL opportunity,83.0,83.0% of adults have access to behavioral/emotional supports
28Q284,2023-24,97.0,97.0% of adults recognize disruptive behavior as SEL opportunity,83.0,83.0% of adults have access to behavioral/emotional supports
28Q287,2023-24,62.0,62.0% of adults recognize disruptive behavior as SEL opportunity,55.0,55.0% of adults have access to behavioral/emotional supports
28Q303,2023-24,97.0,97.0% of adults recognize disruptive behavior as SEL opportunity,94.0,94.0% of adults have access to behavioral/emotional supports
28Q310,2023-24,53.0,53.0% of adults recognize disruptive behavior as SEL opportunity,56.0,56.0% of adults have access to behavioral/emotional supports
28Q312,2023-24,90.0,90.0% of adults recognize disruptive behavior as SEL opportunity,80.0,80.0% of adults have access to behavioral/emotional supports
28Q325,2023-24,92.0,92.0% of adults recognize disruptive behavior as SEL opportunity,92.0,92.0% of adults have access to behavioral/emotional supports
28Q328,2023-24,,Data not available,,Data not available
28Q332,2023-24,79.0,79.0% of adults recognize disruptive behavior as SEL opportunity,64.0,64.0% of adults have access to behavioral/emotional supports
28Q338,2023-24,89.0,89.0% of adults recognize disruptive behavior as SEL opportunity,89.0,89.0% of adults have access to behavioral/emotional supports
28Q349,2023-24,72.0,72.0% of adults recognize disruptive behavior as SEL opportunity,77.0,77.0% of adults have access to behavioral/emotional supports
28Q350,2023-24,63.0,63.0% of adults recognize disruptive behavior as SEL opportunity,74.0,74.0% of adults have access to behavioral/emotional supports
28Q354,2023-24,65.0,65.0% of adults recognize disruptive behavior as SEL opportunity,62.0,62.0% of adults have access to behavioral/emotional supports
28Q358,2023-24,88.0,88.0% of adults recognize disruptive behavior as SEL opportunity,100.0,100.0% of adults have access to behavioral/emotional supports
28Q440,2023-24,53.0,53.0% of adults recognize disruptive behavior as SEL opportunity,61.0,61.0% of adults have access to behavioral/emotional supports
28Q505,2023-24,75.0,75.0% of adults recognize disruptive behavior as SEL opportunity,79.0,79.0% of adults have access to behavioral/emotional supports
28Q620,2023-24,55.0,55.0% of adults recognize disruptive behavior as SEL opportunity,64.0,64.0% of adults have access to behavioral/emotional supports
28Q680,2023-24,73.0,73.0% of adults recognize disruptive behavior as SEL opportunity,78.0,78.0% of adults have access to behavioral/emotional supports
28Q686,2023-24,86.0,86.0% of adults recognize disruptive behavior as SEL opportunity,77.0,77.0% of adults have access to behavioral/emotional supports
28Q687,2023-24,67.0,67.0% of adults recognize disruptive behavior as SEL opportunity,59.0,59.0% of adults have access to behavioral/emotional supports
28Q690,2023-24,69.0,69.0% of adults recognize disruptive behavior as SEL opportunity,72.0,72.0% of adults have access to behavioral/emotional supports
28Q896,2023-24,78.0,78.0% of adults recognize disruptive behavior as SEL opportunity,73.0,73.0% of adults have access to behavioral/emotional supports
29Q015,2023-24,86.0,86.0% of adults recognize disruptive behavior as SEL opportunity,76.0,76.0% of adults have access to behavioral/emotional supports
29Q033,2023-24,81.0,81.0% of adults recognize disruptive behavior as SEL opportunity,86.0,86.0% of adults have access to behavioral/emotional supports
29Q034,2023-24,86.0,86.0% of adults recognize disruptive behavior as SEL opportunity,57.0,57.0% of adults have access to behavioral/emotional supports
29Q035,2023-24,66.0,66.0% of adults recognize disruptive behavior as SEL opportunity,42.0,42.0% of adults have access to behavioral/emotional supports
29Q036,2023-24,78.0,78.0% of adults recognize disruptive behavior as SEL opportunity,61.0,61.0% of adults have access to behavioral/emotional supports
29Q037,2023-24,80.0,80.0% of adults recognize disruptive behavior as SEL opportunity,60.0,60.0% of adults have access to behavioral/emotional supports
29Q038,2023-24,94.0,94.0% of adults recognize disruptive behavior as SEL opportunity,76.0,76.0% of adults have access to behavioral/emotional supports
29Q052,2023-24,83.0,83.0% of adults recognize disruptive behavior as SEL opportunity,84.0,84.0% of adults have access to behavioral/emotional supports
29Q059,2023-24,68.0,68.0% of adults recognize disruptive behavior as SEL opportunity,65.0,65.0% of adults have access to behavioral/emotional supports
29Q095,2023-24,86.0,86.0% of adults recognize disruptive behavior as SEL opportunity,91.0,91.0% of adults have access to behavioral/emotional supports
29Q109,2023-24,75.0,75.0% of adults recognize disruptive behavior as SEL opportunity,82.0,82.0% of adults have access to behavioral/emotional supports
29Q116,2023-24,76.0,76.0% of adults recognize disruptive behavior as SEL opportunity,76.0,76.0% of adults have access to behavioral/emotional supports
29Q118,2023-24,62.0,62.0% of adults recognize disruptive behavior as SEL opportunity,64.0,64.0% of adults have access to behavioral/emotional supports
29Q131,2023-24,88.0,88.0% of adults recognize disruptive behavior as SEL opportunity,93.0,93.0% of adults have access to behavioral/emotional supports
29Q132,2023-24,90.0,90.0% of adults recognize disruptive behavior as SEL opportunity,95.0,95.0% of adults have access to behavioral/emotional supports
29Q134,2023-24,82.0,82.0% of adults recognize disruptive behavior as SEL opportunity,65.0,65.0% of adults have access to behavioral/emotional supports
29Q135,2023-24,70.0,70.0% of adults recognize disruptive behavior as SEL opportunity,78.0,78.0% of adults have access to behavioral/emotional supports
29Q136,2023-24,64.0,64.0% of adults recognize disruptive behavior as SEL opportunity,58.0,58.0% of adults have access to behavioral/emotional supports
29Q138,2023-24,71.0,71.0% of adults recognize disruptive behavior as SEL opportunity,77.0,77.0% of adults have access to behavioral/emotional supports
29Q147,2023-24,62.0,62.0% of adults recognize disruptive behavior as SEL opportunity,48.0,48.0% of adults have access to behavioral/emotional supports
29Q156,2023-24,75.0,75.0% of adults recognize disruptive behavior as SEL opportunity,88.0,88.0% of adults have access to behavioral/emotional supports
29Q176,2023-24,70.0,70.0% of adults recognize disruptive behavior as SEL opportunity,68.0,68.0% of adults have access to behavioral/emotional supports
29Q181,2023-24,54.0,54.0% of adults recognize disruptive behavior as SEL opportunity,69.0,69.0% of adults have access to behavioral/emotional supports
29Q192,2023-24,55.0,55.0% of adults recognize disruptive behavior as SEL opportunity,79.0,79.0% of adults have access to behavioral/emotional supports
29Q195,2023-24,76.0,76.0% of adults recognize disruptive behavior as SEL opportunity,79.0,79.0% of adults have access to behavioral/emotional supports
29Q208,2023-24,85.0,85.0% of adults recognize disruptive behavior as SEL opportunity,78.0,78.0% of adults have access to behavioral/emotional supports
29Q238,2023-24,67.0,67.0% of adults recognize disruptive behavior as SEL opportunity,72.0,72.0% of adults have access to behavioral/emotional supports
29Q243,2023-24,72.0,72.0% of adults recognize disruptive behavior as SEL opportunity,88.0,88.0% of adults have access to behavioral/emotional supports
29Q248,2023-24,55.0,55.0% of adults recognize disruptive behavior as SEL opportunity,33.0,33.0% of adults have access to behavioral/emotional supports
29Q251,2023-24,60.0,60.0% of adults recognize disruptive behavior as SEL opportunity,40.0,40.0% of adults have access to behavioral/emotional supports
29Q259,2023-24,66.0,66.0% of adults recognize disruptive behavior as SEL opportunity,66.0,66.0% of adults have access to behavioral/emotional supports
29Q265,2023-24,80.0,80.0% of adults recognize disruptive behavior as SEL opportunity,85.0,85.0% of adults have access to behavioral/emotional supports
29Q268,2023-24,55.0,55.0% of adults recognize disruptive behavior as SEL opportunity,65.0,65.0% of adults have access to behavioral/emotional supports
29Q270,2023-24,70.0,70.0% of adults recognize disruptive behavior as SEL opportunity,62.0,62.0% of adults have access to behavioral/emotional supports
29Q272,2023-24,61.0,61.0% of adults recognize disruptive behavior as SEL opportunity,76.0,76.0% of adults have access to behavioral/emotional supports
29Q283,2023-24,75.0,75.0% of adults recognize disruptive behavior as SEL opportunity,68.0,68.0% of adults have access to behavioral/emotional supports
29Q289,2023-24,,Data not available,,Data not available
29Q295,2023-24,70.0,70.0% of adults recognize disruptive behavior as SEL opportunity,52.0,52.0% of adults have access to behavioral/emotional supports
29Q313,2023-24,81.0,81.0% of adults recognize disruptive behavior as SEL opportunity,86.0,86.0% of adults have access to behavioral/emotional supports
29Q326,2023-24,78.0,78.0% of adults recognize disruptive behavior as SEL opportunity,85.0,85.0% of adults have access to behavioral/emotional supports
29Q327,2023-24,61.0,61.0% of adults recognize disruptive behavior as SEL opportunity,63.0,63.0% of adults have access to behavioral/emotional supports
29Q355,2023-24,91.0,91.0% of adults recognize disruptive behavior as SEL opportunity,95.0,95.0% of adults have access to behavioral/emotional supports
29Q356,2023-24,90.0,90.0% of adults recognize disruptive behavior as SEL opportunity,91.0,91.0% of adults have access to behavioral/emotional supports
29Q360,2023-24,71.0,71.0% of adults recognize disruptive behavior as SEL opportunity,67.0,67.0% of adults have access to behavioral/emotional supports
29Q492,2023-24,92.0,92.0% of adults recognize disruptive behavior as SEL opportunity,96.0,96.0% of adults have access to behavioral/emotional supports
29Q498,2023-24,67.0,67.0% of adults recognize disruptive behavior as SEL opportunity,52.0,52.0% of adults have access to behavioral/emotional supports
30Q002,2023-24,94.0,94.0% of adults recognize disruptive behavior as SEL opportunity,89.0,89.0% of adults have access to behavioral/emotional supports
30Q010,2023-24,84.0,84.0% of adults recognize disruptive behavior as SEL opportunity,88.0,88.0% of adults have access to behavioral/emotional supports
30Q011,2023-24,79.0,79.0% of adults recognize disruptive behavior as SEL opportunity,66.0,66.0% of adults have access to behavioral/emotional supports
30Q017,2023-24,71.0,71.0% of adults recognize disruptive behavior as SEL opportunity,51.0,51.0% of adults have access to behavioral/emotional supports
30Q069,2023-24,77.0,77.0% of adults recognize disruptive behavior as SEL opportunity,69.0,69.0% of adults have access to behavioral/emotional supports
30Q070,2023-24,88.0,88.0% of adults recognize disruptive behavior as SEL opportunity,90.0,90.0% of adults have access to behavioral/emotional supports
30Q076,2023-24,56.0,56.0% of adults recognize disruptive behavior as SEL opportunity,70.0,70.0% of adults have access to behavioral/emotional supports
30Q078,2023-24,75.0,75.0% of adults recognize disruptive behavior as SEL opportunity,76.0,76.0% of adults have access to behavioral/emotional supports
30Q084,2023-24,81.0,81.0% of adults recognize disruptive behavior as SEL opportunity,81.0,81.0% of adults have access to behavioral/emotional supports
30Q085,2023-24,75.0,75.0% of adults recognize disruptive behavior as SEL opportunity,67.0,67.0% of adults have access to behavioral/emotional supports
30Q092,2023-24,65.0,65.0% of adults recognize disruptive behavior as SEL opportunity,57.0,57.0% of adults have access to behavioral/emotional supports
30Q111,2023-24,58.0,58.0% of adults recognize disruptive behavior as SEL opportunity,64.0,64.0% of adults have access to behavioral/emotional supports
30Q112,2023-24,82.0,82.0% of adults recognize disruptive behavior as SEL opportunity,89.0,89.0% of adults have access to behavioral/emotional supports
30Q122,2023-24,82.0,82.0% of adults recognize disruptive behavior as SEL opportunity,66.0,66.0% of adults have access to behavioral/emotional supports
30Q126,2023-24,75.0,75.0% of adults recognize disruptive behavior as SEL opportunity,80.0,80.0% of adults have access to behavioral/emotional supports
30Q127,2023-24,68.0,68.0% of adults recognize disruptive behavior as SEL opportunity,72.0,72.0% of adults have access to behavioral/emotional supports
30Q141,2023-24,85.0,85.0% of adults recognize disruptive behavior as SEL opportunity,86.0,86.0% of adults have access to behavioral/emotional supports
30Q145,2023-24,71.0,71.0% of adults recognize disruptive behavior as SEL opportunity,73.0,73.0% of adults have access to behavioral/emotional supports
30Q148,2023-24,73.0,73.0% of adults recognize disruptive behavior as SEL opportunity,83.0,83.0% of adults have access to behavioral/emotional supports
30Q149,2023-24,80.0,80.0% of adults recognize disruptive behavior as SEL opportunity,76.0,76.0% of adults have access to behavioral/emotional supports
30Q150,2023-24,72.0,72.0% of adults recognize disruptive behavior as SEL opportunity,61.0,61.0% of adults have access to behavioral/emotional supports
30Q151,2023-24,91.0,91.0% of adults recognize disruptive behavior as SEL opportunity,94.0,94.0% of adults have access to behavioral/emotional supports
30Q152,2023-24,88.0,88.0% of adults recognize disruptive behavior as SEL opportunity,86.0,86.0% of adults have access to behavioral/emotional supports
30Q166,2023-24,82.0,82.0% of adults recognize disruptive behavior as SEL opportunity,84.0,84.0% of adults have access to behavioral/emotional supports
30Q171,2023-24,82.0,82.0% of adults recognize disruptive behavior as SEL opportunity,73.0,73.0% of adults have access to behavioral/emotional supports
30Q204,2023-24,87.0,87.0% of adults recognize disruptive behavior as SEL opportunity,89.0,89.0% of adults have access to behavioral/emotional supports
30Q212,2023-24,86.0,86.0% of adults recognize disruptive behavior as SEL opportunity,86.0,86.0% of adults have access to behavioral/emotional supports
30Q222,2023-24,88.0,88.0% of adults recognize disruptive behavior as SEL opportunity,75.0,75.0% of adults have access to behavioral/emotional supports
