DBN,school_year,suspension_total,suspension_rate,suspension_rate_label
09X053,2020-21,0.0,0.0,0.0% of students suspended
09X055,2020-21,0.0,0.0,0.0% of students suspended
09X058,2020-21,0.0,0.0,0.0% of students suspended
09X063,2020-21,0.0,0.0,0.0% of students suspended
09X070,2020-21,0.0,0.0,0.0% of students suspended
09X073,2020-21,0.0,0.0,0.0% of students suspended
09X088,2020-21,0.0,0.0,0.0% of students suspended
09X109,2020-21,0.0,0.0,0.0% of students suspended
09X110,2020-21,0.0,0.0,0.0% of students suspended
09X114,2020-21,0.0,0.0,0.0% of students suspended
09X117,2020-21,0.0,0.0,0.0% of students suspended
09X126,2020-21,0.0,0.0,0.0% of students suspended
09X128,2020-21,0.0,0.0,0.0% of students suspended
09X132,2020-21,0.0,0.0,0.0% of students suspended
09X163,2020-21,0.0,0.0,0.0% of students suspended
09X170,2020-21,0.0,0.0,0.0% of students suspended
09X199,2020-21,0.0,0.0,0.0% of students suspended
09X204,2020-21,0.0,0.0,0.0% of students suspended
09X215,2020-21,0.0,0.0,0.0% of students suspended
09X218,2020-21,0.0,0.0,0.0% of students suspended
09X219,2020-21,0.0,0.0,0.0% of students suspended
09X227,2020-21,0.0,0.0,0.0% of students suspended
09X229,2020-21,0.0,0.0,0.0% of students suspended
09X231,2020-21,0.0,0.0,0.0% of students suspended
09X232,2020-21,0.0,0.0,0.0% of students suspended
09X236,2020-21,0.0,0.0,0.0% of students suspended
09X241,2020-21,0.0,0.0,0.0% of students suspended
09X250,2020-21,0.0,0.0,0.0% of students suspended
09X252,2020-21,0.0,0.0,0.0% of students suspended
09X260,2020-21,0.0,0.0,0.0% of students suspended
09X263,2020-21,0.0,0.0,0.0% of students suspended
09X274,2020-21,0.0,0.0,0.0% of students suspended
09X294,2020-21,0.0,0.0,0.0% of students suspended
09X297,2020-21,0.0,0.0,0.0% of students suspended
09X303,2020-21,0.0,0.0,0.0% of students suspended
09X311,2020-21,0.0,0.0,0.0% of students suspended
09X313,2020-21,0.0,0.0,0.0% of students suspended
09X323,2020-21,0.0,0.0,0.0% of students suspended
09X324,2020-21,0.0,0.0,0.0% of students suspended
09X327,2020-21,,,Data suppressed
09X328,2020-21,,,Data suppressed
09X329,2020-21,0.0,0.0,0.0% of students suspended
09X339,2020-21,,,Data suppressed
09X350,2020-21,,,Data suppressed
09X361,2020-21,0.0,0.0,0.0% of students suspended
09X365,2020-21,0.0,0.0,0.0% of students suspended
09X403,2020-21,0.0,0.0,0.0% of students suspended
09X404,2020-21,0.0,,Data suppressed
09X412,2020-21,0.0,0.0,0.0% of students suspended
09X413,2020-21,0.0,0.0,0.0% of students suspended
09X443,2020-21,0.0,0.0,0.0% of students suspended
09X449,2020-21,0.0,0.0,0.0% of students suspended
09X454,2020-21,0.0,0.0,0.0% of students suspended
09X457,2020-21,0.0,0.0,0.0% of students suspended
09X505,2020-21,0.0,0.0,0.0% of students suspended
09X517,2020-21,,,Data suppressed
09X525,2020-21,0.0,0.0,0.0% of students suspended
09X543,2020-21,0.0,0.0,0.0% of students suspended
09X555,2020-21,0.0,0.0,0.0% of students suspended
09X564,2020-21,0.0,0.0,0.0% of students suspended
09X568,2020-21,0.0,0.0,0.0% of students suspended
09X593,2020-21,0.0,0.0,0.0% of students suspended
09X594,2020-21,0.0,0.0,0.0% of students suspended
10X003,2020-21,,,Data suppressed
10X007,2020-21,0.0,0.0,0.0% of students suspended
10X008,2020-21,0.0,0.0,0.0% of students suspended
10X009,2020-21,,,Data suppressed
10X015,2020-21,0.0,0.0,0.0% of students suspended
10X020,2020-21,,,Data suppressed
10X023,2020-21,0.0,0.0,0.0% of students suspended
10X024,2020-21,0.0,0.0,0.0% of students suspended
10X032,2020-21,0.0,0.0,0.0% of students suspended
10X033,2020-21,0.0,0.0,0.0% of students suspended
10X037,2020-21,0.0,0.0,0.0% of students suspended
10X045,2020-21,0.0,0.0,0.0% of students suspended
10X046,2020-21,0.0,0.0,0.0% of students suspended
10X051,2020-21,0.0,0.0,0.0% of students suspended
10X054,2020-21,0.0,0.0,0.0% of students suspended
10X056,2020-21,0.0,0.0,0.0% of students suspended
10X059,2020-21,0.0,0.0,0.0% of students suspended
10X077,2020-21,0.0,0.0,0.0% of students suspended
10X080,2020-21,0.0,0.0,0.0% of students suspended
10X081,2020-21,0.0,0.0,0.0% of students suspended
10X085,2020-21,0.0,0.0,0.0% of students suspended
10X086,2020-21,0.0,0.0,0.0% of students suspended
10X091,2020-21,0.0,0.0,0.0% of students suspended
10X094,2020-21,0.0,0.0,0.0% of students suspended
10X095,2020-21,0.0,0.0,0.0% of students suspended
10X118,2020-21,,,Data suppressed
10X141,2020-21,,,Data suppressed
10X159,2020-21,0.0,0.0,0.0% of students suspended
10X205,2020-21,0.0,0.0,0.0% of students suspended
10X206,2020-21,0.0,0.0,0.0% of students suspended
10X207,2020-21,0.0,0.0,0.0% of students suspended
10X209,2020-21,0.0,0.0,0.0% of students suspended
10X213,2020-21,0.0,0.0,0.0% of students suspended
10X225,2020-21,0.0,0.0,0.0% of students suspended
10X226,2020-21,0.0,0.0,0.0% of students suspended
10X228,2020-21,0.0,0.0,0.0% of students suspended
10X237,2020-21,0.0,0.0,0.0% of students suspended
10X243,2020-21,0.0,0.0,0.0% of students suspended
10X244,2020-21,0.0,0.0,0.0% of students suspended
10X246,2020-21,0.0,0.0,0.0% of students suspended
10X254,2020-21,0.0,0.0,0.0% of students suspended
10X264,2020-21,,,Data suppressed
10X268,2020-21,0.0,0.0,0.0% of students suspended
10X279,2020-21,0.0,0.0,0.0% of students suspended
10X280,2020-21,0.0,0.0,0.0% of students suspended
10X284,2020-21,0.0,0.0,0.0% of students suspended
10X291,2020-21,0.0,0.0,0.0% of students suspended
10X306,2020-21,0.0,0.0,0.0% of students suspended
10X307,2020-21,0.0,,Data suppressed
10X308,2020-21,0.0,0.0,0.0% of students suspended
10X310,2020-21,0.0,0.0,0.0% of students suspended
10X315,2020-21,0.0,0.0,0.0% of students suspended
10X319,2020-21,0.0,0.0,0.0% of students suspended
10X331,2020-21,,,Data suppressed
10X340,2020-21,,,Data suppressed
10X342,2020-21,7.0,1.32,1.3% of students suspended
10X344,2020-21,0.0,0.0,0.0% of students suspended
10X351,2020-21,0.0,0.0,0.0% of students suspended
10X353,2020-21,,,Data suppressed
10X360,2020-21,0.0,0.0,0.0% of students suspended
