DBN,school_year,school_type,safety_climate_rating,safety_climate_rating_label,safety_pct_positive,safety_pct_positive_label
04M007,2020-21,EMS,,Rating not available,,Data not available
04M012,2020-21,EMS,,Rating not available,,Data not available
04M037,2020-21,EMS,,Rating not available,,Data not available
04M038,2020-21,EMS,,Rating not available,,Data not available
04M057,2020-21,EMS,,Rating not available,,Data not available
04M072,2020-21,EMS,,Rating not available,,Data not available
04M083,2020-21,EMS,,Rating not available,,Data not available
04M096,2020-21,EMS,,Rating not available,,Data not available
04M102,2020-21,EMS,,Rating not available,,Data not available
04M108,2020-21,EMS,,Rating not available,,Data not available
04M146,2020-21,EMS,,Rating not available,,Data not available
04M155,2020-21,EMS,,Rating not available,,Data not available
04M171,2020-21,EMS,,Rating not available,,Data not available
04M182,2020-21,EMS,,Rating not available,,Data not available
04M206,2020-21,EMS,,Rating not available,,Data not available
04M224,2020-21,EMS,,Rating not available,,Data not available
04M372,2020-21,EMS,,Rating not available,,Data not available
04M375,2020-21,EMS,,Rating not available,,Data not available
04M377,2020-21,EMS,,Rating not available,,Data not available
04M497,2020-21,EMS,,Rating not available,,Data not available
04M610,2020-21,EMS,,Rating not available,,Data not available
04M825,2020-21,EMS,,Rating not available,,Data not available
04M964,2020-21,EMS,,Rating not available,,Data not available
05M030,2020-21,EMS,,Rating not available,,Data not available
05M036,2020-21,EMS,,Rating not available,,Data not available
05M046,2020-21,EMS,,Rating not available,,Data not available
05M092,2020-21,EMS,,Rating not available,,Data not available
05M123,2020-21,EMS,,Rating not available,,Data not available
05M125,2020-21,EMS,,Rating not available,,Data not available
05M129,2020-21,EMS,,Rating not available,,Data not available
05M133,2020-21,EMS,,Rating not available,,Data not available
05M148,2020-21,EMS,,Rating not available,,Data not available
05M154,2020-21,EMS,,Rating not available,,Data not available
05M161,2020-21,EMS,,Rating not available,,Data not available
05M175,2020-21,EMS,,Rating not available,,Data not available
05M194,2020-21,EMS,,Rating not available,,Data not available
05M197,2020-21,EMS,,Rating not available,,Data not available
05M200,2020-21,EMS,,Rating not available,,Data not available
05M286,2020-21,EMS,,Rating not available,,Data not available
05M318,2020-21,EMS,,Rating not available,,Data not available
05M362,2020-21,EMS,,Rating not available,,Data not available
05M371,2020-21,EMS,,Rating not available,,Data not available
05M499,2020-21,EMS,,Rating not available,,Data not available
05M514,2020-21,EMS,,Rating not available,,Data not available
05M517,2020-21,EMS,,Rating not available,,Data not available
05M670,2020-21,EMS,,Rating not available,,Data not available
06M004,2020-21,EMS,,Rating not available,,Data not available
06M005,2020-21,EMS,,Rating not available,,Data not available
06M008,2020-21,EMS,,Rating not available,,Data not available
06M018,2020-21,EMS,,Rating not available,,Data not available
06M028,2020-21,EMS,,Rating not available,,Data not available
06M048,2020-21,EMS,,Rating not available,,Data not available
06M052,2020-21,EMS,,Rating not available,,Data not available
06M098,2020-21,EMS,,Rating not available,,Data not available
06M103,2020-21,EMS,,Rating not available,,Data not available
06M115,2020-21,EMS,,Rating not available,,Data not available
06M128,2020-21,EMS,,Rating not available,,Data not available
06M132,2020-21,EMS,,Rating not available,,Data not available
06M143,2020-21,EMS,,Rating not available,,Data not available
06M152,2020-21,EMS,,Rating not available,,Data not available
06M153,2020-21,EMS,,Rating not available,,Data not available
06M173,2020-21,EMS,,Rating not available,,Data not available
06M178,2020-21,EMS,,Rating not available,,Data not available
06M187,2020-21,EMS,,Rating not available,,Data not available
06M189,2020-21,EMS,,Rating not available,,Data not available
06M192,2020-21,EMS,,Rating not available,,Data not available
06M209,2020-21,EMS,,Rating not available,,Data not available
06M210,2020-21,EMS,,Rating not available,,Data not available
06M223,2020-21,EMS,,Rating not available,,Data not available
06M278,2020-21,EMS,,Rating not available,,Data not available
06M293,2020-21,EMS,,Rating not available,,Data not available
06M311,2020-21,EMS,,Rating not available,,Data not available
06M314,2020-21,EMS,,Rating not available,,Data not available
06M319,2020-21,EMS,,Rating not available,,Data not available
06M322,2020-21,EMS,,Rating not available,,Data not available
06M324,2020-21,EMS,,Rating not available,,Data not available
06M328,2020-21,EMS,,Rating not available,,Data not available
06M346,2020-21,EMS,,Rating not available,,Data not available
06M348,2020-21,EMS,,Rating not available,,Data not available
06M349,2020-21,EMS,,Rating not available,,Data not available
06M366,2020-21,EMS,,Rating not available,,Data not available
06M368,2020-21,EMS,,Rating not available,,Data not available
06M513,2020-21,EMS,,Rating not available,,Data not available
06M528,2020-21,EMS,,Rating not available,,Data not available
07X001,2020-21,EMS,,Rating not available,,Data not available
07X005,2020-21,EMS,,Rating not available,,Data not available
07X018,2020-21,EMS,,Rating not available,,Data not available
07X025,2020-21,EMS,,Rating not available,,Data not available
07X029,2020-21,EMS,,Rating not available,,Data not available
07X030,2020-21,EMS,,Rating not available,,Data not available
07X031,2020-21,EMS,,Rating not available,,Data not available
07X043,2020-21,EMS,,Rating not available,,Data not available
07X049,2020-21,EMS,,Rating not available,,Data not available
07X065,2020-21,EMS,,Rating not available,,Data not available
07X154,2020-21,EMS,,Rating not available,,Data not available
07X157,2020-21,EMS,,Rating not available,,Data not available
07X161,2020-21,EMS,,Rating not available,,Data not available
07X179,2020-21,EMS,,Rating not available,,Data not available
07X221,2020-21,EMS,,Rating not available,,Data not available
07X223,2020-21,EMS,,Rating not available,,Data not available
07X224,2020-21,EMS,,Rating not available,,Data not available
07X277,2020-21,EMS,,Rating not available,,Data not available
07X296,2020-21,EMS,,Rating not available,,Data not available
07X298,2020-21,EMS,,Rating not available,,Data not available
07X343,2020-21,EMS,,Rating not available,,Data not available
07X359,2020-21,EMS,,Rating not available,,Data not available
07X369,2020-21,EMS,,Rating not available,,Data not available
07X500,2020-21,EMS,,Rating not available,,Data not available
07X551,2020-21,EMS,,Rating not available,,Data not available
07X584,2020-21,EMS,,Rating not available,,Data not available
08X014,2020-21,EMS,,Rating not available,,Data not available
08X036,2020-21,EMS,,Rating not available,,Data not available
08X048,2020-21,EMS,,Rating not available,,Data not available
08X062,2020-21,EMS,,Rating not available,,Data not available
08X069,2020-21,EMS,,Rating not available,,Data not available
08X071,2020-21,EMS,,Rating not available,,Data not available
08X072,2020-21,EMS,,Rating not available,,Data not available
08X075,2020-21,EMS,,Rating not available,,Data not available
08X093,2020-21,EMS,,Rating not available,,Data not available
08X100,2020-21,EMS,,Rating not available,,Data not available
08X101,2020-21,EMS,,Rating not available,,Data not available
08X107,2020-21,EMS,,Rating not available,,Data not available
08X119,2020-21,EMS,,Rating not available,,Data not available
08X123,2020-21,EMS,,Rating not available,,Data not available
08X130,2020-21,EMS,,Rating not available,,Data not available
08X131,2020-21,EMS,,Rating not available,,Data not available
08X138,2020-21,EMS,,Rating not available,,Data not available
08X140,2020-21,EMS,,Rating not available,,Data not available
08X146,2020-21,EMS,,Rating not available,,Data not available
08X152,2020-21,EMS,,Rating not available,,Data not available
08X182,2020-21,EMS,,Rating not available,,Data not available
08X269,2020-21,EMS,,Rating not available,,Data not available
08X301,2020-21,EMS,,Rating not available,,Data not available
08X302,2020-21,EMS,,Rating not available,,Data not available
08X304,2020-21,EMS,,Rating not available,,Data not available
08X333,2020-21,EMS,,Rating not available,,Data not available
08X337,2020-21,EMS,,Rating not available,,Data not available
08X367,2020-21,EMS,,Rating not available,,Data not available
08X371,2020-21,EMS,,Rating not available,,Data not available
08X375,2020-21,EMS,,Rating not available,,Data not available
08X376,2020-21,EMS,,Rating not available,,Data not available
