DBN,school_year,arts_ed_score,arts_ed_score_label,arts_ed_disciplines
15K896,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
16K021,2020-21,2,2 of 4 disciplines,"Music, Visual Arts"
16K026,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
16K035,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
16K057,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
16K243,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
16K262,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
16K335,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
16K455,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
16K628,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
16K688,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
16K898,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
17K002,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
17K006,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
17K012,2020-21,1,1 of 4 discipline,Visual Arts
17K061,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
17K091,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
17K092,2020-21,3,3 of 4 disciplines,"Dance, Music, Visual Arts"
17K138,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
17K189,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
17K191,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
17K241,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
17K246,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
17K249,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
17K316,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
17K340,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
17K352,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
17K353,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
17K354,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
17K375,2020-21,0,0 of 4 disciplines,
